,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
39,cityblock,116,distance,"{'metric': 'cityblock', 'n_neighbors': 116, 'weights': 'distance'}",0.9484693037228494,0.0040722797473666745,241
40,cityblock,123,uniform,"{'metric': 'cityblock', 'n_neighbors': 123, 'weights': 'uniform'}",0.9549347291884871,0.0029949095907084553,103
41,cityblock,123,distance,"{'metric': 'cityblock', 'n_neighbors': 123, 'weights': 'distance'}",0.9485733225918797,0.004152648003804876,223
42,cityblock,129,uniform,"{'metric': 'cityblock', 'n_neighbors': 129, 'weights': 'uniform'}",0.9550053428864741,0.002872455490874474,88
43,cityblock,129,distance,"{'metric': 'cityblock', 'n_neighbors': 129, 'weights': 'distance'}",0.9485122343319959,0.004088268708347287,229
44,cityblock,135,uniform,"{'metric': 'cityblock', 'n_neighbors': 135, 'weights': 'uniform'}",0.9552848117348546,0.0027210300043838064,52
45,cityblock,135,distance,"{'metric': 'cityblock', 'n_neighbors': 135, 'weights': 'distance'}",0.9484839928180632,0.004116959495155288,238
46,cityblock,141,uniform,"{'metric': 'cityblock', 'n_neighbors': 141, 'weights': 'uniform'}",0.9553260163642383,0.002614632683991372,34
47,cityblock,141,distance,"{'metric': 'cityblock', 'n_neighbors': 141, 'weights': 'distance'}",0.9484552305986883,0.004129186336674288,244
48,cityblock,147,uniform,"{'metric': 'cityblock', 'n_neighbors': 147, 'weights': 'uniform'}",0.9554167431971663,0.002607892793918232,4
49,cityblock,147,distance,"{'metric': 'cityblock', 'n_neighbors': 147, 'weights': 'distance'}",0.9484909949208798,0.00415514397738529,235
50,cityblock,153,uniform,"{'metric': 'cityblock', 'n_neighbors': 153, 'weights': 'uniform'}",0.9553259484510509,0.002760348551227809,37
51,cityblock,153,distance,"{'metric': 'cityblock', 'n_neighbors': 153, 'weights': 'distance'}",0.9486344052392115,0.0040862716670301644,220
52,cityblock,159,uniform,"{'metric': 'cityblock', 'n_neighbors': 159, 'weights': 'uniform'}",0.9552615850882585,0.0027627271129776524,55
53,cityblock,159,distance,"{'metric': 'cityblock', 'n_neighbors': 159, 'weights': 'distance'}",0.9487023596143948,0.004019922387805882,214
54,cityblock,165,uniform,"{'metric': 'cityblock', 'n_neighbors': 165, 'weights': 'uniform'}",0.9553966075449299,0.0026825658117074587,10
55,cityblock,165,distance,"{'metric': 'cityblock', 'n_neighbors': 165, 'weights': 'distance'}",0.9486696888343011,0.004060783632943346,217
56,cityblock,171,uniform,"{'metric': 'cityblock', 'n_neighbors': 171, 'weights': 'uniform'}",0.9553291400179521,0.002719823437676459,31
57,cityblock,171,distance,"{'metric': 'cityblock', 'n_neighbors': 171, 'weights': 'distance'}",0.9487806672430847,0.004169996523677475,199
58,cityblock,177,uniform,"{'metric': 'cityblock', 'n_neighbors': 177, 'weights': 'uniform'}",0.9553644307042004,0.0027956965178458416,22
59,cityblock,177,distance,"{'metric': 'cityblock', 'n_neighbors': 177, 'weights': 'distance'}",0.9487123730730369,0.0041470233021997675,211
60,cityblock,184,uniform,"{'metric': 'cityblock', 'n_neighbors': 184, 'weights': 'uniform'}",0.9552585142492829,0.0028348219096983184,58
61,cityblock,184,distance,"{'metric': 'cityblock', 'n_neighbors': 184, 'weights': 'distance'}",0.9487842035507057,0.0040875661527616,193
62,cityblock,190,uniform,"{'metric': 'cityblock', 'n_neighbors': 190, 'weights': 'uniform'}",0.955293899715455,0.0027932596622919827,46
