,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,mean_test_score,std_test_score,rank_test_score
38,tanh,4,1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 4, 'learning_rate_init': 1, 'max_iter': 1000}",0.9357733063657936,0.02318689752960736,20
39,tanh,4,10,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 4, 'learning_rate_init': 10, 'max_iter': 1000}",0.7129570380553413,0.35780737870085516,61
40,tanh,"(2, 2)",0.001,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9410374457645858,0.005103846344601926,16
41,tanh,"(2, 2)",0.01,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9359427381826106,0.010534337216503115,19
42,tanh,"(2, 2)",0.1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9373633818833206,0.012468000382182416,17
43,tanh,"(2, 2)",1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 1, 'max_iter': 1000}",0.806951708662738,0.18211517495348198,58
44,tanh,"(2, 2)",10,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 10, 'max_iter': 1000}",0.0,0.0,74
45,tanh,"(4, 4)",0.001,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9785474769811306,0.012242303406428992,3
46,tanh,"(4, 4)",0.01,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9827200476192409,0.0074257787503178956,2
47,tanh,"(4, 4)",0.1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.978446856757599,0.010393783358213988,4
48,tanh,"(4, 4)",1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 1, 'max_iter': 1000}",0.8427202370693593,0.06751960845141293,51
49,tanh,"(4, 4)",10,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 10, 'max_iter': 1000}",0.0,0.0,74
50,relu,(),0.001,1000,"{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.8422695108820235,0.0025339810440322707,55
51,relu,(),0.01,1000,"{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.8458545913190159,0.004027711049648318,48
52,relu,(),0.1,1000,"{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.8501451098040516,0.01228003598616289,45
53,relu,(),1,1000,"{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 1, 'max_iter': 1000}",0.828632280288604,0.013954430309825029,57
54,relu,(),10,1000,"{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 10, 'max_iter': 1000}",0.6274322116016128,0.16395868417328,64
55,relu,2,0.001,1000,"{'activation': 'relu', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.8991683450361426,0.018375883296941415,36
56,relu,2,0.01,1000,"{'activation': 'relu', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9004980469844803,0.0169856642293388,35
57,relu,2,0.1,1000,"{'activation': 'relu', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.857030198442055,0.08318840516786813,43
58,relu,2,1,1000,"{'activation': 'relu', 'hidden_layer_sizes': 2, 'learning_rate_init': 1, 'max_iter': 1000}",0.6628174820654151,0.0877385001688184,62
59,relu,2,10,1000,"{'activation': 'relu', 'hidden_layer_sizes': 2, 'learning_rate_init': 10, 'max_iter': 1000}",0.270443165565442,0.33122647925713916,69
60,relu,4,0.001,1000,"{'activation': 'relu', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9367576189951261,0.021339380917692382,18
61,relu,4,0.01,1000,"{'activation': 'relu', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9596763329377245,0.005062596446353494,13
62,relu,4,0.1,1000,"{'activation': 'relu', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.8901584802500082,0.10338281055501437,37
63,relu,4,1,1000,"{'activation': 'relu', 'hidden_layer_sizes': 4, 'learning_rate_init': 1, 'max_iter': 1000}",0.7463288705018526,0.20166439106101744,59
64,relu,4,10,1000,"{'activation': 'relu', 'hidden_layer_sizes': 4, 'learning_rate_init': 10, 'max_iter': 1000}",0.2706883083878389,0.3315324480884758,68
65,relu,"(2, 2)",0.001,1000,"{'activation': 'relu', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.8508007935582524,0.08895016655387161,44
66,relu,"(2, 2)",0.01,1000,"{'activation': 'relu', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.8745583133177771,0.09457256032900739,39
67,relu,"(2, 2)",0.1,1000,"{'activation': 'relu', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.7456304298412398,0.3730391762271224,60
68,relu,"(2, 2)",1,1000,"{'activation': 'relu', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 1, 'max_iter': 1000}",0.2670704717530577,0.32709319057968966,71
69,relu,"(2, 2)",10,1000,"{'activation': 'relu', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 10, 'max_iter': 1000}",0.13353523587652885,0.2670704717530577,72
70,relu,"(4, 4)",0.001,1000,"{'activation': 'relu', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9643609589617895,0.0158826499827537,9
71,relu,"(4, 4)",0.01,1000,"{'activation': 'relu', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.986306164365123,0.0028885440200813396,1
72,relu,"(4, 4)",0.1,1000,"{'activation': 'relu', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9614995517733786,0.003163779358353498,12
73,relu,"(4, 4)",1,1000,"{'activation': 'relu', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 1, 'max_iter': 1000}",0.6127216838745281,0.31946901063814176,65
74,relu,"(4, 4)",10,1000,"{'activation': 'relu', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 10, 'max_iter': 1000}",0.2676484787403567,0.3278023756598389,70
