,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
39,cityblock,116,distance,"{'metric': 'cityblock', 'n_neighbors': 116, 'weights': 'distance'}",0.9792778628649147,0.0013270896937091557,93
40,cityblock,123,uniform,"{'metric': 'cityblock', 'n_neighbors': 123, 'weights': 'uniform'}",0.9734615527534288,0.001288304357525874,215
41,cityblock,123,distance,"{'metric': 'cityblock', 'n_neighbors': 123, 'weights': 'distance'}",0.9790730920673012,0.0012386970393921063,100
42,cityblock,129,uniform,"{'metric': 'cityblock', 'n_neighbors': 129, 'weights': 'uniform'}",0.973294873353538,0.0013198042453216542,218
43,cityblock,129,distance,"{'metric': 'cityblock', 'n_neighbors': 129, 'weights': 'distance'}",0.9789080777193575,0.0011387518720666632,101
44,cityblock,135,uniform,"{'metric': 'cityblock', 'n_neighbors': 135, 'weights': 'uniform'}",0.9728584907532053,0.001080462870935328,219
45,cityblock,135,distance,"{'metric': 'cityblock', 'n_neighbors': 135, 'weights': 'distance'}",0.9786726706279177,0.0011023514036457274,104
46,cityblock,141,uniform,"{'metric': 'cityblock', 'n_neighbors': 141, 'weights': 'uniform'}",0.9726277784889777,0.0012330691375216083,222
47,cityblock,141,distance,"{'metric': 'cityblock', 'n_neighbors': 141, 'weights': 'distance'}",0.9784712945810048,0.001065326449370298,110
48,cityblock,147,uniform,"{'metric': 'cityblock', 'n_neighbors': 147, 'weights': 'uniform'}",0.9724288363938387,0.0013294317731625,225
49,cityblock,147,distance,"{'metric': 'cityblock', 'n_neighbors': 147, 'weights': 'distance'}",0.9782699779919124,0.001054647042003382,113
50,cityblock,153,uniform,"{'metric': 'cityblock', 'n_neighbors': 153, 'weights': 'uniform'}",0.9719914631598281,0.0014548226981899223,230
51,cityblock,153,distance,"{'metric': 'cityblock', 'n_neighbors': 153, 'weights': 'distance'}",0.9782380955965557,0.0010094040562342401,114
52,cityblock,159,uniform,"{'metric': 'cityblock', 'n_neighbors': 159, 'weights': 'uniform'}",0.9718981634513215,0.001319825743174164,231
53,cityblock,159,distance,"{'metric': 'cityblock', 'n_neighbors': 159, 'weights': 'distance'}",0.9780355625019546,0.0009495444957847762,118
54,cityblock,165,uniform,"{'metric': 'cityblock', 'n_neighbors': 165, 'weights': 'uniform'}",0.9717343973762027,0.0014697292289019876,234
55,cityblock,165,distance,"{'metric': 'cityblock', 'n_neighbors': 165, 'weights': 'distance'}",0.977801334157444,0.0009799918334641006,123
56,cityblock,171,uniform,"{'metric': 'cityblock', 'n_neighbors': 171, 'weights': 'uniform'}",0.9714987251459906,0.001615260307994983,235
57,cityblock,171,distance,"{'metric': 'cityblock', 'n_neighbors': 171, 'weights': 'distance'}",0.9776035851901034,0.000944869018708255,127
58,cityblock,177,uniform,"{'metric': 'cityblock', 'n_neighbors': 177, 'weights': 'uniform'}",0.9711241845693364,0.0016838678394237399,238
59,cityblock,177,distance,"{'metric': 'cityblock', 'n_neighbors': 177, 'weights': 'distance'}",0.9774348104880932,0.001069760191742552,132
60,cityblock,184,uniform,"{'metric': 'cityblock', 'n_neighbors': 184, 'weights': 'uniform'}",0.9710556129087953,0.0015408985910715881,239
61,cityblock,184,distance,"{'metric': 'cityblock', 'n_neighbors': 184, 'weights': 'distance'}",0.9773663948722551,0.0011113150789312572,133
62,cityblock,190,uniform,"{'metric': 'cityblock', 'n_neighbors': 190, 'weights': 'uniform'}",0.9705503369751376,0.0016339374980595626,244
63,cityblock,190,distance,"{'metric': 'cityblock', 'n_neighbors': 190, 'weights': 'distance'}",0.9770951794873357,0.0011502306303854837,137
64,cityblock,196,uniform,"{'metric': 'cityblock', 'n_neighbors': 196, 'weights': 'uniform'}",0.9704131826984101,0.0013448214277071385,247
65,cityblock,196,distance,"{'metric': 'cityblock', 'n_neighbors': 196, 'weights': 'distance'}",0.9767891308588,0.0009807765626238607,141
66,cityblock,202,uniform,"{'metric': 'cityblock', 'n_neighbors': 202, 'weights': 'uniform'}",0.9702174524088425,0.0013937379863505188,250
67,cityblock,202,distance,"{'metric': 'cityblock', 'n_neighbors': 202, 'weights': 'distance'}",0.9765531836648,0.0010079423621305026,148
68,cityblock,208,uniform,"{'metric': 'cityblock', 'n_neighbors': 208, 'weights': 'uniform'}",0.9700541181911605,0.0013307597802111025,251
69,cityblock,208,distance,"{'metric': 'cityblock', 'n_neighbors': 208, 'weights': 'distance'}",0.9761822765286258,0.000888756882217892,152
70,cityblock,214,uniform,"{'metric': 'cityblock', 'n_neighbors': 214, 'weights': 'uniform'}",0.969989787556834,0.0013625276265527982,252
71,cityblock,214,distance,"{'metric': 'cityblock', 'n_neighbors': 214, 'weights': 'distance'}",0.9759469795007281,0.0009308577019647744,158
72,cityblock,220,uniform,"{'metric': 'cityblock', 'n_neighbors': 220, 'weights': 'uniform'}",0.9698594098765311,0.0012695687369471736,255
73,cityblock,220,distance,"{'metric': 'cityblock', 'n_neighbors': 220, 'weights': 'distance'}",0.9759487475309558,0.0009152098306112996,157
74,cityblock,226,uniform,"{'metric': 'cityblock', 'n_neighbors': 226, 'weights': 'uniform'}",0.9695289965396755,0.0013490886075190867,260
